title,columns,samples,biased,epsilon,proby,proba,prob
exp1a,2,10000,False,0.0,0.5,0.5,0.5
exp1a,4,10000,False,0.0,0.5,0.5,0.5
exp1a,6,10000,False,0.0,0.5,0.5,0.5
exp1a,8,10000,False,0.0,0.5,0.5,0.5
exp1a,10,10000,False,0.0,0.5,0.5,0.5
exp1a,50,10000,False,0.0,0.5,0.5,0.5
exp1a,100,10000,False,0.0,0.5,0.5,0.5
exp1b,2,10000,True,0.0,0.5,0.5,0.2
exp1b,4,10000,True,0.0,0.5,0.5,0.2
exp1b,6,10000,True,0.0,0.5,0.5,0.2
exp1b,8,10000,True,0.0,0.5,0.5,0.2
exp1b,10,10000,True,0.0,0.5,0.5,0.2
exp1b,50,10000,True,0.0,0.5,0.5,0.2
exp1b,100,10000,True,0.0,0.5,0.5,0.2
exp2a,1,10000,False,0.0,0.5,0.5,0.0
exp2a,1,10000,False,0.0,0.5,0.5,0.1
exp2a,1,10000,False,0.0,0.5,0.5,0.3
exp2a,1,10000,False,0.0,0.5,0.5,0.5
exp2a,1,10000,False,0.0,0.5,0.5,0.7
exp2a,1,10000,False,0.0,0.5,0.5,0.9
exp2a,1,10000,False,0.0,0.5,0.5,1.0
exp2b,1,10000,True,0.0,0.5,0.5,0.0
exp2b,1,10000,True,0.0,0.5,0.5,0.1
exp2b,1,10000,True,0.0,0.5,0.5,0.3
exp2b,1,10000,True,0.0,0.5,0.5,0.5
exp2b,1,10000,True,0.0,0.5,0.5,0.7
exp2b,1,10000,True,0.0,0.5,0.5,0.9
exp2b,1,10000,True,0.0,0.5,0.5,1.0
exp3a,1,100,False,0.0,0.5,0.5,0.5
exp3a,1,500,False,0.0,0.5,0.5,0.5
exp3a,1,1000,False,0.0,0.5,0.5,0.5
exp3a,1,5000,False,0.0,0.5,0.5,0.5
exp3a,1,10000,False,0.0,0.5,0.5,0.5
exp3a,1,100000,False,0.0,0.5,0.5,0.5
exp3b,1,100,True,0.0,0.5,0.5,0.2
exp3b,1,500,True,0.0,0.5,0.5,0.2
exp3b,1,1000,True,0.0,0.5,0.5,0.2
exp3b,1,5000,True,0.0,0.5,0.5,0.2
exp3b,1,10000,True,0.0,0.5,0.5,0.2
exp3b,1,100000,True,0.0,0.5,0.5,0.2
exp4a,1,10000,False,0.0,0.5,0.5,0.5
exp4a,1,10000,False,0.01,0.5,0.5,0.5
exp4a,1,10000,False,0.05,0.5,0.5,0.5
exp4a,1,10000,False,0.1,0.5,0.5,0.5
exp4a,1,10000,False,0.3,0.5,0.5,0.5
exp4a,1,10000,False,0.5,0.5,0.5,0.5
exp4b,1,10000,True,0.0,0.5,0.5,0.2
exp4b,1,10000,True,0.01,0.5,0.5,0.2
exp4b,1,10000,True,0.05,0.5,0.5,0.2
exp4b,1,10000,True,0.1,0.5,0.5,0.2
exp4b,1,10000,True,0.3,0.5,0.5,0.2
exp4b,1,10000,True,0.5,0.5,0.5,0.2
exp5a,1,10000,False,0.0,0.5,0.1,0.5
exp5a,1,10000,False,0.0,0.5,0.2,0.5
exp5a,1,10000,False,0.0,0.5,0.3,0.5
exp5a,1,10000,False,0.0,0.5,0.4,0.5
exp5a,1,10000,False,0.0,0.5,0.5,0.5
exp5a,1,10000,False,0.0,0.5,0.6,0.5
exp5a,1,10000,False,0.0,0.5,0.7,0.5
exp5a,1,10000,False,0.0,0.5,0.8,0.5
exp5a,1,10000,False,0.0,0.5,0.9,0.5
exp5b,1,10000,True,0.0,0.5,0.1,0.2
exp5b,1,10000,True,0.0,0.5,0.2,0.2
exp5b,1,10000,True,0.0,0.5,0.3,0.2
exp5b,1,10000,True,0.0,0.5,0.4,0.2
exp5b,1,10000,True,0.0,0.5,0.5,0.2
exp5b,1,10000,True,0.0,0.5,0.6,0.2
exp5b,1,10000,True,0.0,0.5,0.7,0.2
exp5b,1,10000,True,0.0,0.5,0.8,0.2
exp5b,1,10000,True,0.0,0.5,0.9,0.2
exp6a,1,10000,False,0.0,0.1,0.5,0.5
exp6a,1,10000,False,0.0,0.2,0.5,0.5
exp6a,1,10000,False,0.0,0.3,0.5,0.5
exp6a,1,10000,False,0.0,0.4,0.5,0.5
exp6a,1,10000,False,0.0,0.5,0.5,0.5
exp6a,1,10000,False,0.0,0.6,0.5,0.5
exp6a,1,10000,False,0.0,0.7,0.5,0.5
exp6a,1,10000,False,0.0,0.8,0.5,0.5
exp6a,1,10000,False,0.0,0.9,0.5,0.5
exp6b,1,10000,True,0.0,0.1,0.5,0.2
exp6b,1,10000,True,0.0,0.2,0.5,0.2
exp6b,1,10000,True,0.0,0.3,0.5,0.2
exp6b,1,10000,True,0.0,0.4,0.5,0.2
exp6b,1,10000,True,0.0,0.5,0.5,0.2
exp6b,1,10000,True,0.0,0.6,0.5,0.2
exp6b,1,10000,True,0.0,0.7,0.5,0.2
exp6b,1,10000,True,0.0,0.8,0.5,0.2
exp6b,1,10000,True,0.0,0.9,0.5,0.2